Nom_Action;Prim_key;Code_ABBR;Code_ISIN;Date;Ouverture;Fermeture;Volume
Credit Agricole;FR0000045072ACAp;ACAp;FR0000045072;----;7.0;6.902;9236156
Credit Agricole;FR0000045072ACAp0;ACAp;FR0000045072;----0;7.198;7.166;7088562
Credit Agricole;FR0000045072ACAp0320;ACAp;FR0000045072;-03-20;6.98;6.69;9488221
Credit Agricole;FR0000045072ACAp0420;ACAp;FR0000045072;-04-20;7.8;7.282;12807958
Credit Agricole;FR0000045072ACAp0520;ACAp;FR0000045072;-05-20;7.22;7.0;6785474
Credit Agricole;FR0000045072ACAp180312;ACAp;FR0000045072;18-03-12;13.705;13.72;3227334
Credit Agricole;FR0000045072ACAp180313;ACAp;FR0000045072;18-03-13;13.755;13.645;5880566
Credit Agricole;FR0000045072ACAp180314;ACAp;FR0000045072;18-03-14;13.63;13.49;4842653
Credit Agricole;FR0000045072ACAp180315;ACAp;FR0000045072;18-03-15;13.56;13.555;4431206
Credit Agricole;FR0000045072ACAp180316;ACAp;FR0000045072;18-03-16;13.56;13.705;7063795
Credit Agricole;FR0000045072ACAp180319;ACAp;FR0000045072;18-03-19;13.715;13.615;4623997
Credit Agricole;FR0000045072ACAp180320;ACAp;FR0000045072;18-03-20;13.635;13.68;5016937
Credit Agricole;FR0000045072ACAp180321;ACAp;FR0000045072;18-03-21;13.675;13.585;4926829
Credit Agricole;FR0000045072ACAp180322;ACAp;FR0000045072;18-03-22;13.5;13.38;9217233
Credit Agricole;FR0000045072ACAp180323;ACAp;FR0000045072;18-03-23;13.24;13.165;7007759
Credit Agricole;FR0000045072ACAp180326;ACAp;FR0000045072;18-03-26;13.19;13.14;5289476
Credit Agricole;FR0000045072ACAp180327;ACAp;FR0000045072;18-03-27;13.345;13.23;4517519
Credit Agricole;FR0000045072ACAp180328;ACAp;FR0000045072;18-03-28;13.075;13.255;5754470
Credit Agricole;FR0000045072ACAp180329;ACAp;FR0000045072;18-03-29;13.32;13.205;5179244
Credit Agricole;FR0000045072ACAp180403;ACAp;FR0000045072;18-04-03;13.1;13.225;5012393
Credit Agricole;FR0000045072ACAp180404;ACAp;FR0000045072;18-04-04;13.245;13.14;5366373
Credit Agricole;FR0000045072ACAp180405;ACAp;FR0000045072;18-04-05;13.365;13.405;6353249
Credit Agricole;FR0000045072ACAp180406;ACAp;FR0000045072;18-04-06;13.365;13.235;6424232
Credit Agricole;FR0000045072ACAp180409;ACAp;FR0000045072;18-04-09;13.295;13.185;4320600
Credit Agricole;FR0000045072ACAp180410;ACAp;FR0000045072;18-04-10;13.285;13.26;5893820
Credit Agricole;FR0000045072ACAp180411;ACAp;FR0000045072;18-04-11;13.23;13.21;4618578
Credit Agricole;FR0000045072ACAp180412;ACAp;FR0000045072;18-04-12;13.23;13.335;4725069
Credit Agricole;FR0000045072ACAp180413;ACAp;FR0000045072;18-04-13;13.33;13.385;3834811
Credit Agricole;FR0000045072ACAp180416;ACAp;FR0000045072;18-04-16;13.39;13.405;3037093
Credit Agricole;FR0000045072ACAp180417;ACAp;FR0000045072;18-04-17;13.435;13.415;4175959
Credit Agricole;FR0000045072ACAp180418;ACAp;FR0000045072;18-04-18;13.415;13.45;3017991
Credit Agricole;FR0000045072ACAp180419;ACAp;FR0000045072;18-04-19;13.46;13.5;3219481
Credit Agricole;FR0000045072ACAp180420;ACAp;FR0000045072;18-04-20;13.525;13.585;4221609
Credit Agricole;FR0000045072ACAp180423;ACAp;FR0000045072;18-04-23;13.575;13.715;4740055
Credit Agricole;FR0000045072ACAp180424;ACAp;FR0000045072;18-04-24;13.715;13.745;3852029
Credit Agricole;FR0000045072ACAp180425;ACAp;FR0000045072;18-04-25;13.7;13.62;3515984
Credit Agricole;FR0000045072ACAp180426;ACAp;FR0000045072;18-04-26;13.62;13.625;3774331
Credit Agricole;FR0000045072ACAp180427;ACAp;FR0000045072;18-04-27;13.625;13.675;4817240
Credit Agricole;FR0000045072ACAp180430;ACAp;FR0000045072;18-04-30;13.66;13.635;4498369
Credit Agricole;FR0000045072ACAp180502;ACAp;FR0000045072;18-05-02;13.6;13.62;4070609
Credit Agricole;FR0000045072ACAp180503;ACAp;FR0000045072;18-05-03;13.61;13.38;4912067
Credit Agricole;FR0000045072ACAp180504;ACAp;FR0000045072;18-05-04;13.29;13.43;5439145
Credit Agricole;FR0000045072ACAp180507;ACAp;FR0000045072;18-05-07;13.485;13.445;2565110
Credit Agricole;FR0000045072ACAp180508;ACAp;FR0000045072;18-05-08;13.45;13.405;4195205
Credit Agricole;FR0000045072ACAp180509;ACAp;FR0000045072;18-05-09;13.435;13.44;4056471
Credit Agricole;FR0000045072ACAp180510;ACAp;FR0000045072;18-05-10;13.465;13.425;2905129
Credit Agricole;FR0000045072ACAp180511;ACAp;FR0000045072;18-05-11;13.425;13.47;4083132
Credit Agricole;FR0000045072ACAp180514;ACAp;FR0000045072;18-05-14;13.5;13.41;6346001
Credit Agricole;FR0000045072ACAp180515;ACAp;FR0000045072;18-05-15;13.21;13.565;9134616
Credit Agricole;FR0000045072ACAp180516;ACAp;FR0000045072;18-05-16;13.58;13.495;7014733
Credit Agricole;FR0000045072ACAp180517;ACAp;FR0000045072;18-05-17;13.5;13.625;9452515
Credit Agricole;FR0000045072ACAp180518;ACAp;FR0000045072;18-05-18;13.62;13.435;12477727
Credit Agricole;FR0000045072ACAp180521;ACAp;FR0000045072;18-05-21;13.485;13.535;5732322
Credit Agricole;FR0000045072ACAp180522;ACAp;FR0000045072;18-05-22;13.045;13.26;10374941
Credit Agricole;FR0000045072ACAp180523;ACAp;FR0000045072;18-05-23;13.23;13.095;8898903
Credit Agricole;FR0000045072ACAp180524;ACAp;FR0000045072;18-05-24;13.12;12.785;10545032
Credit Agricole;FR0000045072ACAp180525;ACAp;FR0000045072;18-05-25;12.8;12.66;9150669
Credit Agricole;FR0000045072ACAp180528;ACAp;FR0000045072;18-05-28;12.78;12.45;10422035
Credit Agricole;FR0000045072ACAp180529;ACAp;FR0000045072;18-05-29;12.29;12.04;19523584
Credit Agricole;FR0000045072ACAp180530;ACAp;FR0000045072;18-05-30;12.0;11.885;14761668
Credit Agricole;FR0000045072ACAp180531;ACAp;FR0000045072;18-05-31;12.0;11.74;14996794
Credit Agricole;FR0000045072ACAp180601;ACAp;FR0000045072;18-06-01;11.905;12.055;14645525
Credit Agricole;FR0000045072ACAp180604;ACAp;FR0000045072;18-06-04;12.2;12.155;8137459
Credit Agricole;FR0000045072ACAp180605;ACAp;FR0000045072;18-06-05;12.175;11.905;8533422
Credit Agricole;FR0000045072ACAp180606;ACAp;FR0000045072;18-06-06;11.94;11.91;8390212
Credit Agricole;FR0000045072ACAp180607;ACAp;FR0000045072;18-06-07;11.995;11.985;7134471
Credit Agricole;FR0000045072ACAp180608;ACAp;FR0000045072;18-06-08;11.905;11.89;6013127
Credit Agricole;FR0000045072ACAp180611;ACAp;FR0000045072;18-06-11;11.995;12.08;8700900
Credit Agricole;FR0000045072ACAp180612;ACAp;FR0000045072;18-06-12;12.135;12.105;5968996
Credit Agricole;FR0000045072ACAp180613;ACAp;FR0000045072;18-06-13;12.1;12.035;5259770
