;Prim_key;Nom_Action;Code_ABBR;Code_ISIN;Date;Ouverture;Fermeture;Volume
0;FR0000045072ACAp;Credit Agricole;ACAp;FR0000045072;----;7.8;7.282;12807958
1;FR0000045072ACAp0;Credit Agricole;ACAp;FR0000045072;----0;7.0;6.902;9236156
2;FR0000045072ACAp0320;Credit Agricole;ACAp;FR0000045072;-03-20;6.98;6.69;9488221
3;FR0000045072ACAp0420;Credit Agricole;ACAp;FR0000045072;-04-20;7.8;7.282;12807958
4;FR0000045072ACAp0520;Credit Agricole;ACAp;FR0000045072;-05-20;7.198;7.166;7088562
5;FR0000045072ACAp180312;Credit Agricole;ACAp;FR0000045072;18-03-12;13.705;13.72;3227334
6;FR0000045072ACAp180313;Credit Agricole;ACAp;FR0000045072;18-03-13;13.755;13.645;5880566
7;FR0000045072ACAp180314;Credit Agricole;ACAp;FR0000045072;18-03-14;13.63;13.49;4842653
8;FR0000045072ACAp180315;Credit Agricole;ACAp;FR0000045072;18-03-15;13.56;13.555;4431206
9;FR0000045072ACAp180316;Credit Agricole;ACAp;FR0000045072;18-03-16;13.56;13.705;7063795
10;FR0000045072ACAp180319;Credit Agricole;ACAp;FR0000045072;18-03-19;13.715;13.615;4623997
11;FR0000045072ACAp180320;Credit Agricole;ACAp;FR0000045072;18-03-20;13.635;13.68;5016937
12;FR0000045072ACAp180321;Credit Agricole;ACAp;FR0000045072;18-03-21;13.675;13.585;4926829
13;FR0000045072ACAp180322;Credit Agricole;ACAp;FR0000045072;18-03-22;13.5;13.38;9217233
14;FR0000045072ACAp180323;Credit Agricole;ACAp;FR0000045072;18-03-23;13.24;13.165;7007759
15;FR0000045072ACAp180326;Credit Agricole;ACAp;FR0000045072;18-03-26;13.19;13.14;5289476
16;FR0000045072ACAp180327;Credit Agricole;ACAp;FR0000045072;18-03-27;13.345;13.23;4517519
17;FR0000045072ACAp180328;Credit Agricole;ACAp;FR0000045072;18-03-28;13.075;13.255;5754470
18;FR0000045072ACAp180329;Credit Agricole;ACAp;FR0000045072;18-03-29;13.32;13.205;5179244
19;FR0000045072ACAp180403;Credit Agricole;ACAp;FR0000045072;18-04-03;13.1;13.225;5012393
