Nom_Action;Prim_key;Code_ABBR;Code_ISIN;Date;Ouverture;Fermeture;Volume
Lvmh;FR0000121014MCp191015;MCp;FR0000121014;19-10-15;382.5;380.5;557059
Lvmh;FR0000121014MCp191016;MCp;FR0000121014;19-10-16;379.55;378.1;444595
Lvmh;FR0000121014MCp191017;MCp;FR0000121014;19-10-17;379.2;374.75;531108
Lvmh;FR0000121014MCp191018;MCp;FR0000121014;19-10-18;373.9;375.05;515274
Lvmh;FR0000121014MCp191021;MCp;FR0000121014;19-10-21;375.65;374.6;337676
Lvmh;FR0000121014MCp191022;MCp;FR0000121014;19-10-22;374.35;376.65;305573
Lvmh;FR0000121014MCp191023;MCp;FR0000121014;19-10-23;374.4;375.0;415169
Lvmh;FR0000121014MCp191024;MCp;FR0000121014;19-10-24;377.6;377.05;351479
Lvmh;FR0000121014MCp191025;MCp;FR0000121014;19-10-25;376.15;383.95;411884
Lvmh;FR0000121014MCp191028;MCp;FR0000121014;19-10-28;385.0;382.1;537028
Lvmh;FR0000121014MCp191029;MCp;FR0000121014;19-10-29;382.6;380.25;433890
Lvmh;FR0000121014MCp191030;MCp;FR0000121014;19-10-30;379.55;384.45;408123
Lvmh;FR0000121014MCp191031;MCp;FR0000121014;19-10-31;385.9;382.5;521851
Lvmh;FR0000121014MCp191101;MCp;FR0000121014;19-11-01;384.5;389.25;309162
Lvmh;FR0000121014MCp191104;MCp;FR0000121014;19-11-04;391.0;397.5;556084
Lvmh;FR0000121014MCp191105;MCp;FR0000121014;19-11-05;399.0;400.25;483733
Lvmh;FR0000121014MCp191106;MCp;FR0000121014;19-11-06;400.55;399.55;403886
Lvmh;FR0000121014MCp191107;MCp;FR0000121014;19-11-07;402.0;404.0;474972
Lvmh;FR0000121014MCp191108;MCp;FR0000121014;19-11-08;402.25;403.0;464275
Lvmh;FR0000121014MCp191111;MCp;FR0000121014;19-11-11;400.4;403.25;359868
Lvmh;FR0000121014MCp191112;MCp;FR0000121014;19-11-12;403.9;403.4;339248
Lvmh;FR0000121014MCp191113;MCp;FR0000121014;19-11-13;403.0;401.85;462268
Lvmh;FR0000121014MCp191114;MCp;FR0000121014;19-11-14;403.05;403.75;282090
Lvmh;FR0000121014MCp191115;MCp;FR0000121014;19-11-15;405.6;405.5;540518
Lvmh;FR0000121014MCp191118;MCp;FR0000121014;19-11-18;406.65;402.25;415619
Lvmh;FR0000121014MCp191119;MCp;FR0000121014;19-11-19;403.25;398.2;503871
Lvmh;FR0000121014MCp191120;MCp;FR0000121014;19-11-20;397.0;398.2;381166
Lvmh;FR0000121014MCp191121;MCp;FR0000121014;19-11-21;397.0;394.5;501386
Lvmh;FR0000121014MCp191122;MCp;FR0000121014;19-11-22;394.65;396.25;407070
Lvmh;FR0000121014MCp191125;MCp;FR0000121014;19-11-25;400.6;404.25;548923
Lvmh;FR0000121014MCp191126;MCp;FR0000121014;19-11-26;405.9;407.35;574721
Lvmh;FR0000121014MCp191127;MCp;FR0000121014;19-11-27;410.95;408.65;329656
Lvmh;FR0000121014MCp191128;MCp;FR0000121014;19-11-28;408.0;406.75;232033
Lvmh;FR0000121014MCp191129;MCp;FR0000121014;19-11-29;405.75;407.3;474506
Lvmh;FR0000121014MCp191202;MCp;FR0000121014;19-12-02;408.0;396.55;722510
Lvmh;FR0000121014MCp191203;MCp;FR0000121014;19-12-03;390.95;390.7;776715
Lvmh;FR0000121014MCp191204;MCp;FR0000121014;19-12-04;391.1;396.0;541644
Lvmh;FR0000121014MCp191205;MCp;FR0000121014;19-12-05;398.2;396.2;443970
Lvmh;FR0000121014MCp191206;MCp;FR0000121014;19-12-06;395.3;401.35;475438
Lvmh;FR0000121014MCp191209;MCp;FR0000121014;19-12-09;401.95;399.25;345640
Lvmh;FR0000121014MCp191210;MCp;FR0000121014;19-12-10;398.6;396.8;494628
Lvmh;FR0000121014MCp191211;MCp;FR0000121014;19-12-11;397.45;399.6;398818
Lvmh;FR0000121014MCp191212;MCp;FR0000121014;19-12-12;400.05;398.2;493703
Lvmh;FR0000121014MCp191213;MCp;FR0000121014;19-12-13;406.75;403.8;573232
Lvmh;FR0000121014MCp191216;MCp;FR0000121014;19-12-16;406.8;409.7;510952
Lvmh;FR0000121014MCp191217;MCp;FR0000121014;19-12-17;407.4;402.65;734684
Lvmh;FR0000121014MCp191218;MCp;FR0000121014;19-12-18;401.5;400.85;593340
Lvmh;FR0000121014MCp191219;MCp;FR0000121014;19-12-19;401.45;402.25;429663
Lvmh;FR0000121014MCp191220;MCp;FR0000121014;19-12-20;403.75;410.5;1290604
Lvmh;FR0000121014MCp191223;MCp;FR0000121014;19-12-23;410.0;413.8;363694
Lvmh;FR0000121014MCp191224;MCp;FR0000121014;19-12-24;413.0;414.1;65503
Lvmh;FR0000121014MCp191227;MCp;FR0000121014;19-12-27;417.0;417.6;364536
Lvmh;FR0000121014MCp191230;MCp;FR0000121014;19-12-30;419.25;414.6;226651
Lvmh;FR0000121014MCp191231;MCp;FR0000121014;19-12-31;414.2;414.2;102945
Lvmh;FR0000121014MCp200102;MCp;FR0000121014;20-01-02;418.0;419.15;347226
Lvmh;FR0000121014MCp200103;MCp;FR0000121014;20-01-03;417.0;419.1;291716
Lvmh;FR0000121014MCp200106;MCp;FR0000121014;20-01-06;415.0;415.15;363953
Lvmh;FR0000121014MCp200107;MCp;FR0000121014;20-01-07;417.6;416.0;363885
Lvmh;FR0000121014MCp200108;MCp;FR0000121014;20-01-08;414.7;418.8;360741
Lvmh;FR0000121014MCp200109;MCp;FR0000121014;20-01-09;422.0;424.5;378062
Lvmh;FR0000121014MCp200110;MCp;FR0000121014;20-01-10;425.2;423.65;268887
Lvmh;FR0000121014MCp200113;MCp;FR0000121014;20-01-13;424.55;426.75;375035
Lvmh;FR0000121014MCp200114;MCp;FR0000121014;20-01-14;427.6;431.0;513855
Lvmh;FR0000121014MCp200115;MCp;FR0000121014;20-01-15;432.6;431.45;429805
Lvmh;FR0000121014MCp200116;MCp;FR0000121014;20-01-16;432.6;431.9;420256
Lvmh;FR0000121014MCp200117;MCp;FR0000121014;20-01-17;435.0;439.05;519809
Lvmh;FR0000121014MCp200120;MCp;FR0000121014;20-01-20;438.25;429.75;345795
Lvmh;FR0000121014MCp200121;MCp;FR0000121014;20-01-21;419.7;424.95;674294
Lvmh;FR0000121014MCp200122;MCp;FR0000121014;20-01-22;426.4;423.45;427634
Lvmh;FR0000121014MCp200123;MCp;FR0000121014;20-01-23;417.85;411.95;663493
Lvmh;FR0000121014MCp200124;MCp;FR0000121014;20-01-24;417.1;416.3;537172
Lvmh;FR0000121014MCp200127;MCp;FR0000121014;20-01-27;402.9;401.0;1193045
Lvmh;FR0000121014MCp200128;MCp;FR0000121014;20-01-28;402.5;412.0;911017
Lvmh;FR0000121014MCp200129;MCp;FR0000121014;20-01-29;412.0;407.6;1050070
Lvmh;FR0000121014MCp200130;MCp;FR0000121014;20-01-30;400.05;398.9;919787
Lvmh;FR0000121014MCp200131;MCp;FR0000121014;20-01-31;400.8;395.3;852171
Lvmh;FR0000121014MCp200203;MCp;FR0000121014;20-02-03;394.65;396.75;561461
Lvmh;FR0000121014MCp200204;MCp;FR0000121014;20-02-04;400.0;410.6;721603
Lvmh;FR0000121014MCp200205;MCp;FR0000121014;20-02-05;408.55;415.0;851040
Lvmh;FR0000121014MCp200206;MCp;FR0000121014;20-02-06;418.35;418.05;576989
Lvmh;FR0000121014MCp200207;MCp;FR0000121014;20-02-07;414.15;413.95;557450
Lvmh;FR0000121014MCp200210;MCp;FR0000121014;20-02-10;411.0;413.55;538239
Lvmh;FR0000121014MCp200211;MCp;FR0000121014;20-02-11;416.05;412.35;485463
Lvmh;FR0000121014MCp200212;MCp;FR0000121014;20-02-12;414.1;424.7;646869
